word,entropy_bits,expected_remaining,worst_case_remaining,is_possible_answer,frequency_score
keros,4.865014,129.4596,315,0,1.590713
rotch,4.865006,171.3179,473,0,1.467387
shave,4.864788,147.8518,360,1,1.621814
moues,4.864777,145.3430,327,0,1.535421
tates,4.864557,135.5210,347,0,1.602160
brand,4.864556,158.9482,434,1,1.493089
inerm,4.864418,134.2553,314,0,1.569762
today,4.864172,150.6320,376,1,1.533909
nomes,4.864009,137.1486,308,0,1.538013
crapy,4.863660,157.7905,430,0,1.533477
south,4.863615,196.3754,571,1,1.441901
plesh,4.863612,166.8540,400,0,1.495464
ruche,4.863601,148.0592,395,0,1.544924
stony,4.863599,160.3123,459,1,1.529806
acker,4.863546,134.1387,341,0,1.647300
meane,4.863518,151.0562,431,0,1.487689
eyots,4.863463,140.7616,387,0,1.593089
gaurs,4.863384,141.1469,353,0,1.514903
ribas,4.863278,130.5490,287,0,1.537581
spina,4.862833,160.3598,401,0,1.528942
karos,4.862728,133.6428,347,0,1.540605
clads,4.862640,152.9637,415,0,1.468035
dunce,4.862472,162.9032,432,1,1.463067
amber,4.862385,145.2056,365,1,1.619870
paver,4.862300,147.1374,391,0,1.645572
skail,4.861503,152.4220,417,0,1.521598
eisel,4.861453,145.2298,395,0,1.461339
glens,4.861385,146.6251,350,0,1.523758
cagey,4.861156,135.8035,297,1,1.622246
letup,4.861083,146.5248,348,0,1.496112
pyres,4.860562,142.7037,341,0,1.561555
yamen,4.860548,135.0976,295,0,1.572138
chals,4.860334,167.1607,465,0,1.479698
girts,4.860113,148.5836,397,0,1.467171
edits,4.860105,143.8060,341,0,1.565659
crees,4.859968,154.1024,423,0,1.493305
saran,4.859960,150.5231,408,0,1.501944
scout,4.859847,172.2104,506,1,1.449460
doyen,4.859718,155.2626,355,0,1.511663
scalp,4.859687,163.6324,472,1,1.483585
rafts,4.859666,140.3866,383,0,1.530238
crawl,4.859664,151.2281,409,1,1.517279
marae,4.859490,148.3382,412,0,1.589849
ukase,4.859382,135.9780,287,0,1.604536
duels,4.859312,152.5395,363,0,1.505400
celom,4.859301,146.9793,340,0,1.505832
pirns,4.859157,157.2652,410,0,1.451620
segni,4.859000,146.5464,372,0,1.557235
libra,4.858982,136.6605,301,0,1.550540
daynt,4.858716,155.6384,432,0,1.448164
picra,4.858699,149.0769,347,0,1.509719
capon,4.858496,160.0937,421,0,1.441469
plica,4.858403,167.4415,441,0,1.473218
agros,4.858380,132.6302,312,0,1.546004
glint,4.858314,172.5577,492,1,1.434341
dunes,4.858266,148.7676,379,0,1.488553
tepid,4.858253,154.2389,396,1,1.489633
carat,4.858180,166.0004,473,1,1.469330
under,4.858052,144.2683,366,1,1.569114
acold,4.858034,152.6354,400,0,1.468898
lotus,4.858026,148.2501,415,0,1.451836
algin,4.857967,168.5525,433,0,1.469762
sepic,4.857862,148.6251,370,0,1.530238
steen,4.857801,158.5283,439,0,1.479482
lomed,4.857565,154.0203,380,0,1.501944
orpin,4.857525,152.3451,409,0,1.460043
binal,4.857367,163.8821,435,0,1.484881
chota,4.856846,168.6389,422,0,1.499136
treck,4.856808,152.5404,374,0,1.571922
miros,4.856754,144.1594,362,0,1.465659
strig,4.856580,148.1050,397,0,1.499568
brust,4.856214,171.2384,481,0,1.451620
howre,4.856096,151.5400,404,0,1.561123
monde,4.856057,159.2367,402,0,1.492873
theic,4.855872,160.3365,370,0,1.523326
daube,4.855862,145.4397,334,0,1.543413
botas,4.855608,146.5352,379,0,1.518359
wites,4.855559,144.7788,369,0,1.536501
supra,4.855190,154.2320,371,0,1.546436
symar,4.855156,144.6432,384,0,1.508207
posey,4.855132,146.6337,333,0,1.598920
tenes,4.855109,151.4346,439,0,1.439741
warns,4.854921,144.0756,368,0,1.508423
amble,4.854838,152.8989,382,1,1.550324
straw,4.854672,144.8376,381,1,1.562851
teels,4.854567,152.1145,405,0,1.456587
tomia,4.854525,149.8363,352,0,1.533261
stalk,4.854183,162.6769,450,1,1.536285
grued,4.854095,170.1006,454,0,1.516847
biota,4.853920,145.4415,358,0,1.543844
coeds,4.853918,145.4994,353,0,1.531102
basto,4.853873,145.5857,379,0,1.516631
locis,4.853727,138.7901,368,0,1.443844
norma,4.853333,144.1862,334,0,1.543197
verso,4.853046,138.2510,342,1,1.585961
fones,4.852621,144.0678,330,0,1.536933
prese,4.852610,171.5728,486,0,1.489201
abrin,4.852273,143.2583,331,0,1.517927
dauts,4.852220,147.7248,407,0,1.468035
tangs,4.852182,150.4393,427,0,1.466955
yeads,4.852072,127.7464,278,0,1.598272
adust,4.851920,155.8035,407,0,1.466955
swage,4.851919,148.8618,362,0,1.592009
patly,4.851845,161.9123,438,0,1.524190
cauld,4.851630,169.3050,490,0,1.427862
mules,4.851481,151.1728,388,0,1.493089
kiers,4.851451,134.9732,308,0,1.578186
sythe,4.851391,144.4220,362,0,1.560691
noily,4.851147,151.7378,439,0,1.507127
polts,4.851086,157.8363,440,0,1.428078
giros,4.850757,143.6523,367,0,1.468251
owler,4.850609,135.7585,311,0,1.629158
surly,4.850547,155.5840,348,1,1.553996
cutey,4.850370,144.7391,312,0,1.569546
poesy,4.850363,158.6959,407,1,1.588121
aloud,4.850175,151.4147,346,1,1.490281
maced,4.850108,149.3222,382,0,1.525918
lipas,4.850091,147.8631,380,0,1.486609
loury,4.849983,149.5823,360,0,1.536069
shout,4.849697,196.0272,571,1,1.442117
gilas,4.849575,148.2994,385,0,1.484233
tokes,4.849546,132.4825,313,0,1.560691
pinas,4.849418,154.0523,401,0,1.473434
foals,4.849341,141.9305,379,0,1.518359
larum,4.848955,142.0488,354,0,1.506911
viner,4.848651,151.4821,383,0,1.596544
wrapt,4.848584,159.0415,443,0,1.482937
bents,4.848354,143.5961,375,0,1.521598
amour,4.848054,145.6281,326,0,1.525918
louns,4.848039,157.9875,450,0,1.434557
waned,4.847988,156.9413,404,0,1.537797
unary,4.847549,133.7827,327,0,1.573002
crabs,4.847268,147.7171,381,0,1.509719
omers,4.847175,132.2717,296,0,1.600000
ahold,4.847121,153.9045,392,0,1.461555
third,4.847065,168.6328,454,1,1.431749
henry,4.847031,140.7866,286,0,1.607775
boyar,4.846935,150.1127,370,0,1.525270
haver,4.846865,137.9883,354,0,1.644060
stang,4.846843,152.4808,427,0,1.525054
chard,4.846713,169.7767,447,1,1.469762
draps,4.846713,147.9486,388,0,1.496976
tiara,4.846425,141.6808,380,1,1.510583
peace,4.846264,165.0173,461,1,1.465443
tholi,4.846186,144.9680,392,0,1.455292
aitch,4.846156,163.8803,432,0,1.478402
fails,4.846111,149.7214,404,0,1.503672
aspro,4.846052,135.7879,321,0,1.553132
tonga,4.846043,159.0052,394,1,1.491361
opals,4.845967,139.2618,359,0,1.510799
herds,4.845919,141.8760,361,0,1.533261
biled,4.845606,168.5672,432,0,1.490065
cobra,4.845522,160.1197,395,1,1.515767
lunge,4.845502,161.8907,419,1,1.497840
moits,4.845362,157.2687,448,0,1.432613
skran,4.844971,147.8950,381,0,1.525702
leers,4.844887,142.8376,351,0,1.514687
faces,4.844814,130.8117,316,0,1.582289
lathi,4.844692,136.1395,359,0,1.520950
rangi,4.844396,144.6657,331,0,1.538013
riven,4.844355,153.4492,383,0,1.572786
piney,4.844322,159.5693,363,1,1.554428
esile,4.844195,145.4691,395,0,1.485529
goaty,4.844104,146.0808,393,0,1.541253
rases,4.843998,125.7948,326,0,1.659395
balti,4.843904,148.7071,396,0,1.515119
demit,4.843863,156.0151,389,0,1.490497
rewin,4.843850,147.0968,365,0,1.561339
gules,4.843769,149.6618,381,0,1.495680
claps,4.843510,168.9767,472,0,1.453564
lanch,4.843507,166.1680,465,0,1.444924
rubes,4.843380,146.1024,363,0,1.549028
eskar,4.843209,125.5374,295,0,1.667171
tilak,4.842736,150.9810,402,0,1.487041
fired,4.842634,159.5322,414,0,1.548812
tripy,4.842412,158.8203,432,0,1.495464
resow,4.842362,135.6056,337,0,1.583585
punce,4.842349,167.2600,434,0,1.459395
roves,4.842298,140.2510,342,0,1.609719
laxer,4.842273,125.3879,318,0,1.707991
harim,4.842147,143.3006,343,0,1.485097
honey,4.841992,146.3832,353,1,1.580778
tronk,4.841573,160.5205,437,0,1.471490
chats,4.841536,182.1793,506,0,1.482937
curls,4.841520,151.4726,339,0,1.460259
guars,4.841432,144.7400,353,0,1.520086
zante,4.841418,130.8160,337,0,1.607559
lotte,4.841281,139.4181,343,0,1.539741
beads,4.841259,142.4004,332,0,1.569546
darer,4.841151,151.3914,409,0,1.609503
beret,4.841070,176.3737,500,1,1.469330
shand,4.840873,159.2384,440,0,1.461987
mutes,4.840823,154.9715,401,0,1.501080
koras,4.840721,138.8575,347,0,1.541901
pical,4.840721,164.7892,441,0,1.450324
sengi,4.840288,147.1633,372,0,1.549892
reply,4.840279,142.0929,316,1,1.628294
phial,4.840219,163.4320,428,0,1.453348
teuch,4.840215,177.0674,428,0,1.481857
ayins,4.840129,143.4769,350,0,1.496760
ernes,4.840116,142.5093,384,0,1.501944
mohel,4.840087,143.5927,336,0,1.506911
lawed,4.840027,151.0251,396,0,1.556803
cedis,4.839763,142.5870,342,0,1.509071
acmes,4.839692,130.5827,305,0,1.566739
pyral,4.839661,152.3270,370,0,1.503456
adobe,4.839640,136.6933,293,1,1.598920
noisy,4.839618,150.9093,438,1,1.496112
moils,4.839515,152.1991,416,0,1.429374
phage,4.839415,155.8130,375,0,1.527646
scram,4.839396,148.9991,384,1,1.510583
dorty,4.839299,164.4782,452,0,1.508423
scand,4.839169,151.6972,422,0,1.469330
ybore,4.839145,134.9499,332,0,1.585745
moble,4.839031,159.7447,402,0,1.493089
blues,4.839021,155.2842,399,0,1.508639
crier,4.839007,156.6786,411,1,1.563067
games,4.838892,137.5970,333,0,1.554212
disme,4.838801,154.5274,385,0,1.482289
fleur,4.838785,147.0164,352,0,1.558963
morns,4.838650,158.0998,409,0,1.451188
drays,4.838644,137.2652,350,0,1.517495
darcy,4.838535,157.6246,415,0,1.523974
nicol,4.838504,156.9533,443,0,1.407127
altar,4.838487,144.2328,371,1,1.501080
cadee,4.838408,158.0860,456,0,1.487041
drily,4.838354,158.0263,390,0,1.513607
loose,4.838171,143.1780,353,1,1.554212
agues,4.838113,128.5991,261,0,1.587905
eathe,4.838077,143.9762,389,0,1.503456
tikes,4.838057,140.2544,363,0,1.532829
chide,4.837533,167.0337,436,1,1.490497
bolas,4.837533,151.9486,378,0,1.510367
cuber,4.837474,163.2333,417,0,1.533693
verts,4.837395,140.7564,367,0,1.571706
stove,4.836894,142.2518,349,1,1.616199
unlit,4.836874,156.0272,441,1,1.421382
eidos,4.836839,136.8523,346,0,1.564795
wrens,4.836838,143.9616,354,0,1.566955
pauls,4.836823,161.1434,449,0,1.461123
mages,4.836806,137.9184,333,0,1.553780
merse,4.836626,168.7952,476,0,1.452484
cakes,4.836504,139.9486,349,0,1.584017
duets,4.836221,157.9806,376,0,1.508639
spald,4.836132,162.3071,457,0,1.467819
manos,4.835853,149.2367,393,0,1.471706
alcid,4.835812,164.6691,432,0,1.450972
mache,4.835726,152.8756,376,0,1.533261
chiro,4.835409,164.4963,445,0,1.465659
inust,4.835401,174.4082,506,0,1.422894
odist,4.835367,153.6497,433,0,1.447300
metre,4.835335,165.1624,462,0,1.458315
bogle,4.835271,162.4557,415,0,1.510367
peony,4.835201,156.8678,388,0,1.567603
astun,4.835199,145.7430,375,0,1.486393
randy,4.835064,153.8207,382,1,1.543629
cytes,4.834857,130.1663,292,0,1.533045
patsy,4.834843,168.0048,465,1,1.513175
rared,4.834723,151.9486,409,0,1.587905
hosey,4.834714,139.2592,319,0,1.597408
buteo,4.834628,150.1603,336,0,1.530454
round,4.834628,176.3987,485,1,1.430454
baric,4.834576,144.2156,360,0,1.521598
choil,4.834555,170.5654,478,0,1.401728
aleck,4.834390,160.5361,364,0,1.578834
axile,4.834331,131.9279,302,0,1.641685
mosed,4.834240,151.0233,366,0,1.497192
piton,4.834136,169.4190,479,0,1.400216
holts,4.834119,160.3451,445,0,1.426566
goeth,4.834056,157.6315,365,0,1.511663
gaily,4.834056,166.6881,460,1,1.523326
vlies,4.834038,146.5266,384,0,1.533477
haems,4.833726,146.9853,342,0,1.549460
aches,4.833667,128.6449,298,0,1.590497
porty,4.833663,165.4838,445,0,1.504752
fault,4.833585,164.3832,456,1,1.467819
chode,4.833445,162.7762,410,0,1.496976
cloth,4.833258,174.5438,495,1,1.414903
tumor,4.833122,165.5572,456,1,1.426350
manis,4.833118,151.9374,402,0,1.466091
bason,4.833064,151.1857,391,0,1.480130
stond,4.832955,162.2613,465,0,1.456371
refis,4.832818,132.5413,312,0,1.575810
racer,4.832414,143.4406,376,1,1.618790
croft,4.832401,173.9382,499,0,1.438661
samek,4.832394,148.0039,371,0,1.582721
weird,4.832344,166.0022,428,1,1.526782
pards,4.832088,146.4609,388,0,1.484665
chary,4.832040,167.1339,417,0,1.543197
crank,4.831946,169.7145,462,1,1.503024
rehab,4.831900,135.4216,317,1,1.603888
goura,4.831855,152.7849,366,0,1.539309
oaths,4.831787,143.5607,379,0,1.514471
scuta,4.831754,161.8726,419,0,1.505832
wired,4.831652,165.5564,428,0,1.531749
merle,4.831149,160.7667,442,0,1.463499
drive,4.830812,164.0039,453,1,1.561987
odals,4.830711,132.2181,330,0,1.512311
raita,4.830672,143.4467,380,0,1.511447
yeahs,4.830550,130.4566,311,0,1.593305
piety,4.830521,156.4454,370,1,1.574514
kites,4.830459,141.1235,363,0,1.526350
limed,4.830381,160.2415,403,0,1.474082
palsy,4.830303,173.4536,488,1,1.505184
ansae,4.830280,138.4618,348,0,1.546652
mured,4.830035,171.4276,452,0,1.496328
lomas,4.829903,146.1888,371,0,1.494384
monas,4.829888,152.3866,393,0,1.473002
bayes,4.829768,130.2968,288,0,1.596976
miaul,4.829651,145.6255,371,0,1.462635
nirly,4.829639,142.8981,316,0,1.539093
basin,4.829620,152.7054,400,1,1.474514
girls,4.829489,143.8276,320,0,1.463931
sores,4.829473,142.6622,361,0,1.626350
ysame,4.829463,128.0920,287,0,1.601944
polis,4.829273,154.8168,422,0,1.423542
hauls,4.829132,151.1927,412,0,1.459611
podal,4.828743,164.6544,413,0,1.448596
gnats,4.828730,153.4665,427,0,1.462635
prays,4.828730,147.8890,395,0,1.513823
ealed,4.828689,156.3123,434,0,1.488121
noahs,4.828603,137.5823,370,0,1.500000
erugo,4.828520,152.0531,344,0,1.573218
covet,4.828311,151.0147,382,1,1.529806
deism,4.828170,154.9801,385,0,1.470842
cogue,4.828069,158.8713,359,0,1.494168
rugal,4.827935,152.8790,347,0,1.507343
barre,4.827673,156.4194,431,0,1.588337
sayid,4.827667,146.8186,380,0,1.489633
seder,4.827625,165.4060,469,0,1.506479
moult,4.827599,174.5395,492,1,1.393521
prosy,4.827581,165.9650,467,0,1.505400
loids,4.827499,145.5089,394,0,1.436285
clays,4.827126,152.4203,427,0,1.474082
diram,4.826955,154.8022,370,0,1.469330
vairs,4.826901,136.3840,330,0,1.538013
doula,4.826584,157.1063,361,0,1.489201
aidos,4.826547,138.8393,326,0,1.516199
geyan,4.826539,152.9248,339,0,1.542765
fiats,4.826480,155.7879,417,0,1.493737
dynel,4.826439,153.3611,380,0,1.474946
bants,4.826359,152.8886,435,0,1.471490
purge,4.826359,165.1719,435,1,1.508207
aizle,4.826161,131.6376,301,0,1.626350
flats,4.826114,158.9430,436,0,1.493952
larks,4.826035,142.0384,352,0,1.527862
maker,4.825971,139.5037,357,1,1.632181
parch,4.825701,176.2164,471,0,1.455292
lehua,4.825479,129.1512,268,0,1.594600
deter,4.825418,171.5305,473,1,1.480346
cyano,4.825356,150.3650,394,0,1.460475
wrath,4.825350,165.1175,450,1,1.491793
serge,4.825260,166.2562,476,0,1.488769
parer,4.824934,152.0877,402,1,1.605832
yages,4.824859,126.0514,276,0,1.583369
sheer,4.824798,167.5633,456,1,1.511231
cadis,4.824672,147.6721,379,0,1.458963
saucy,4.824621,160.7253,440,1,1.522462
sewin,4.824414,154.3797,384,0,1.523110
eagle,4.824291,156.9793,435,1,1.480562
liman,4.823987,158.7460,420,0,1.457451
tousy,4.823986,172.1559,507,0,1.466955
unled,4.823968,151.0752,385,0,1.475162
yules,4.823739,136.2164,331,0,1.522678
vaper,4.823663,148.3581,391,0,1.626134
gerle,4.823568,164.7218,457,0,1.466091
krans,4.823383,145.3153,381,0,1.521382
ocher,4.823329,142.0609,345,0,1.599568
lobed,4.823265,164.1317,413,0,1.487689
drony,4.823188,173.8553,487,0,1.482073
albee,4.823049,168.1559,457,0,1.490497
benis,4.823016,147.2307,357,0,1.517063
thema,4.822881,156.3028,338,0,1.559395
peise,4.822778,174.8773,499,0,1.420950
halid,4.822579,154.9957,416,0,1.439957
image,4.822541,138.5093,302,1,1.576458
knarl,4.822357,144.6086,337,0,1.514903
chais,4.822224,167.0363,418,0,1.478402
sirup,4.822171,164.2242,441,0,1.442549
reens,4.821923,148.9611,384,0,1.482505
laked,4.821901,144.4756,376,0,1.557235
wails,4.821867,148.6216,404,0,1.486609
forge,4.821694,156.4048,422,1,1.560259
rewon,4.821619,147.2540,351,0,1.566955
topis,4.821615,158.8678,450,0,1.421598
duper,4.821596,166.2553,437,0,1.515551
rozet,4.821581,140.0030,371,0,1.620302
waits,4.821540,149.0467,408,0,1.489849
halve,4.821534,144.0868,364,1,1.563067
liken,4.821467,152.3512,385,1,1.502376
doric,4.821408,158.8808,445,0,1.445356
peter,4.821277,172.1836,473,0,1.476674
rawin,4.820920,146.6795,355,0,1.511231
owres,4.820673,141.4467,337,0,1.589201
carbs,4.820604,149.7940,381,0,1.486609
tyned,4.820560,147.2039,350,0,1.483153
cover,4.820509,159.4302,402,1,1.594384
burst,4.820459,180.5240,481,1,1.433693
lifes,4.820156,143.2894,356,0,1.516415
voars,4.820153,140.9620,365,0,1.552700
onlay,4.820096,145.9374,346,0,1.546652
start,4.820028,162.0298,430,1,1.558747
mayst,4.819789,167.3084,473,0,1.443197
perch,4.819770,172.2337,442,1,1.505400
areca,4.819726,147.9512,376,0,1.576890
baith,4.819541,166.8212,455,0,1.459827
curli,4.819490,146.1447,340,0,1.467387
rudas,4.819467,143.1305,332,0,1.500432
ascon,4.819288,144.2847,349,0,1.484017
ghast,4.819268,178.2467,503,0,1.454860
lyted,4.819262,142.4911,322,0,1.506263
tract,4.819158,169.0415,473,1,1.479482
degas,4.819135,141.4017,319,0,1.538877
chaos,4.818929,161.6341,413,1,1.484017
dryas,4.818797,141.2695,350,0,1.492009
boree,4.818739,169.7369,498,0,1.516847
sanes,4.818727,137.4648,348,0,1.604536
kaneh,4.818714,143.7024,341,0,1.536069
ligan,4.818613,166.5905,433,0,1.459611
duple,4.818382,169.7689,451,0,1.446004
artal,4.818348,145.3551,371,0,1.503240
erode,4.818344,163.7473,481,1,1.500648
lowes,4.818342,138.8894,322,0,1.538877
tugra,4.818125,152.8609,366,0,1.502808
cuits,4.818017,178.7270,527,0,1.403672
codas,4.817885,148.9724,361,0,1.465875
sorex,4.817812,140.6907,357,0,1.636285
carex,4.817677,139.7257,370,0,1.633909
axite,4.817531,130.3166,292,0,1.644924
courd,4.817519,183.9339,524,0,1.400000
grike,4.817392,152.8030,396,0,1.557451
saved,4.817003,143.7724,383,0,1.589417
sires,4.816965,138.4212,351,0,1.598488
forme,4.816902,153.1123,403,0,1.557667
sapid,4.816778,157.4484,420,0,1.465227
ervil,4.816645,141.0406,327,0,1.593089
leuds,4.816565,148.1706,363,0,1.489849
hards,4.816561,139.9348,345,0,1.483153
fatso,4.816461,149.6004,384,0,1.496328
besti,4.816282,144.5361,356,0,1.545356
retax,4.815709,133.3335,330,0,1.650324
wheat,4.815671,162.3175,350,1,1.561555
felts,4.815619,147.7827,366,0,1.524190
octas,4.815473,137.7369,329,0,1.516415
skoal,4.815315,155.2635,399,0,1.520302
barny,4.815145,159.4259,401,0,1.543413
looie,4.815049,134.2873,314,0,1.563931
giber,4.814916,161.2756,405,0,1.537365
ohias,4.814642,134.9378,305,0,1.533909
tases,4.814578,135.9201,347,0,1.595464
syned,4.814469,145.7248,368,0,1.508855
levas,4.814467,142.7184,333,0,1.584881
guilt,4.814235,184.5499,530,1,1.386609
sheet,4.814166,191.5676,535,1,1.446652
dopes,4.813883,149.2168,361,0,1.496328
lurid,4.813843,157.1935,375,1,1.432181
drove,4.813825,165.3810,463,1,1.568467
cardy,4.813775,159.1054,415,0,1.524838
boned,4.813661,175.5970,436,0,1.481425
rumal,4.813411,152.0212,354,0,1.505184
unais,4.813303,136.9093,309,0,1.508207
slurp,4.813275,166.1248,400,1,1.458315
kerns,4.813224,138.4834,347,0,1.548380
krona,4.812842,148.9076,356,0,1.537581
emacs,4.812824,147.8432,337,0,1.568683
truer,4.812790,158.2294,416,1,1.543197
elute,4.812766,155.8026,424,0,1.437797
laevo,4.812748,130.8246,268,0,1.629158
yurta,4.812688,138.3002,310,0,1.540389
baurs,4.812543,148.1343,367,0,1.513175
taras,4.812312,155.5996,430,0,1.485313
vesta,4.811824,140.5853,334,0,1.590929
sepoy,4.811716,152.6043,366,0,1.594384
dosai,4.811713,136.3788,306,0,1.528726
cursi,4.811647,152.5352,388,0,1.456371
karns,4.811379,145.9002,381,0,1.498272
sella,4.811037,146.8799,344,0,1.600000
estoc,4.810874,138.4367,356,0,1.573650
taiko,4.810646,138.7918,288,0,1.517927
emits,4.810559,154.0073,376,0,1.538445
enter,4.810534,149.4181,391,1,1.516199
gimel,4.810298,167.2670,419,0,1.457883
stoma,4.810280,154.8808,381,0,1.544060
rives,4.810247,139.9780,343,0,1.581857
ecads,4.810071,135.3672,289,0,1.582289
scrag,4.809992,141.1339,358,0,1.511231
gleam,4.809991,161.3317,359,1,1.537797
pelma,4.809945,157.8251,363,0,1.542549
lered,4.809930,170.7391,456,0,1.458099
thrid,4.809694,168.5067,454,0,1.410799
payed,4.809558,152.4238,360,0,1.534989
absit,4.809231,155.2929,397,0,1.482505
leafy,4.809099,151.0423,346,1,1.622030
hides,4.808894,148.8609,370,0,1.477322
starr,4.808855,153.6048,430,0,1.549892
grunt,4.808674,175.5434,472,1,1.426350
toast,4.808627,163.2289,445,1,1.488769
tenue,4.808460,162.3581,461,0,1.403024
tepoy,4.808381,144.4238,340,0,1.568683
cense,4.808380,163.2695,471,0,1.407775
seans,4.808317,144.2812,348,0,1.598056
rowan,4.808271,153.8035,361,0,1.518143
debit,4.807857,166.6475,423,1,1.476242
overt,4.807586,141.4069,361,1,1.598704
lovat,4.807543,153.2315,391,0,1.495464
admen,4.807509,148.4670,355,0,1.519654
lumen,4.807490,154.6406,381,1,1.468898
grief,4.807318,163.9762,421,1,1.530454
ogles,4.807296,130.8298,293,0,1.535421
owner,4.807235,150.2337,351,1,1.592657
clove,4.807231,156.6587,396,1,1.525054
flota,4.807062,152.1119,369,0,1.510151
pargo,4.807020,152.1257,380,0,1.484449
voice,4.806762,149.4795,340,1,1.535637
topee,4.806536,154.2907,443,0,1.449676
olive,4.806341,141.8138,309,1,1.581857
biros,4.806258,147.1339,365,0,1.466523
gryce,4.805968,140.1559,349,0,1.534125
donah,4.805918,166.7227,419,0,1.423974
felon,4.805816,149.6082,343,1,1.516199
geoid,4.805563,155.3948,356,0,1.505184
regma,4.805433,148.4134,338,0,1.586609
aboil,4.805425,153.2341,344,0,1.512527
glits,4.805416,164.2829,463,0,1.407559
tubes,4.805395,157.8873,416,0,1.485097
aleye,4.805385,141.5590,373,0,1.513175
riata,4.805251,143.5650,380,0,1.498272
iftar,4.805233,141.5737,344,0,1.525270
chafe,4.805135,162.2907,383,1,1.534773
ravey,4.805049,137.7222,317,0,1.701080
robin,4.804868,165.5650,436,1,1.442117
calps,4.804587,167.6765,472,0,1.433693
blurt,4.804580,164.8523,402,1,1.446220
viral,4.804423,142.8384,327,1,1.534989
gelid,4.804213,172.8134,429,0,1.465875
caput,4.804078,170.6475,473,1,1.414471
capos,4.803859,155.2756,401,0,1.450540
shrew,4.803696,162.8091,423,1,1.549892
chiao,4.803473,159.0380,341,0,1.499136
lokes,4.803229,134.9991,308,0,1.539309
moust,4.803078,196.2104,567,0,1.382505
tangi,4.802944,157.7248,413,0,1.474082
thorp,4.802913,175.6471,473,0,1.414471
scrod,4.802415,153.7050,418,0,1.449460
labis,4.802377,147.8544,389,0,1.473218
genua,4.802365,156.4030,310,0,1.552052
threw,4.802344,164.6924,428,1,1.524190
wiels,4.802157,152.2544,353,0,1.508855
welts,4.802102,147.5330,361,0,1.507127
fines,4.801972,153.4881,374,0,1.509071
rores,4.801700,146.3866,361,0,1.569978
signa,4.801683,165.7119,407,0,1.496544
prang,4.801661,158.0790,422,0,1.473650
drags,4.801430,150.2199,383,0,1.482721
etape,4.801319,149.8052,395,0,1.487257
sauch,4.801163,183.4665,494,0,1.457451
lepid,4.800997,164.3762,413,0,1.468251
styed,4.800791,140.5067,345,0,1.547300
muist,4.800715,197.4898,576,0,1.373002
frits,4.800633,163.2514,444,0,1.467819
graft,4.800511,163.5538,454,1,1.472354
toing,4.800420,177.8164,514,0,1.423542
twain,4.800409,161.7948,434,0,1.451836
screw,4.800312,148.3823,387,1,1.557235
speld,4.800069,161.3464,405,0,1.503240
cleft,4.799950,162.6760,377,1,1.493737
fruit,4.799819,178.0695,491,1,1.427430
rebid,4.799644,164.3434,402,0,1.519222
twirl,4.799604,153.2609,357,1,1.458531
ashed,4.799510,128.4073,286,0,1.569330
softa,4.799293,157.5054,384,0,1.516415
dawen,4.799093,158.5464,404,0,1.522030
drams,4.798888,151.4544,392,0,1.480130
abris,4.798874,133.5296,287,0,1.526998
pacts,4.798858,165.6160,466,0,1.436933
aread,4.798783,158.9819,409,0,1.557235
visne,4.798709,161.5754,411,0,1.505616
muras,4.798678,152.7339,369,0,1.488769
baker,4.798637,145.5451,373,1,1.633045
arums,4.798454,146.4022,369,0,1.493521
chias,4.798324,166.6121,418,0,1.470626
cords,4.798296,160.1914,418,0,1.433477
padri,4.798029,148.9905,357,0,1.490713
civet,4.797923,161.1857,431,0,1.501944
prove,4.797920,159.9546,434,1,1.564795
urped,4.797615,164.5153,437,0,1.495896
ronne,4.797531,147.4441,383,0,1.589849
clerk,4.797278,154.8626,376,1,1.560043
ratal,4.797042,153.2989,371,0,1.503456
trior,4.796989,163.0898,461,0,1.441469
shend,4.796668,163.7413,391,0,1.497408
nurls,4.796638,140.2138,307,0,1.469546
golem,4.796487,159.0639,384,1,1.472138
tryke,4.796187,131.5650,312,0,1.572786
mined,4.795874,179.7387,444,0,1.452700
latex,4.795811,132.3737,316,0,1.611879
buran,4.795768,158.6898,390,0,1.480562
coped,4.795559,163.5978,407,0,1.459395
shalm,4.795485,172.2276,486,0,1.452484
amend,4.795430,155.2998,355,1,1.516631
dwile,4.795322,171.6523,456,0,1.476674
nouls,4.795293,158.4384,450,0,1.419222
azole,4.795267,129.0138,254,0,1.644708
pardi,4.795170,147.2065,357,0,1.491793
flied,4.794916,176.5689,456,0,1.489201
hopes,4.794834,153.5641,359,0,1.491145
while,4.794578,156.1663,401,1,1.496112
beach,4.794573,166.7071,380,1,1.540173
cymae,4.794208,144.4056,316,0,1.538877
tsadi,4.794185,139.6592,356,0,1.506263
soldi,4.794139,146.6449,394,0,1.457667
limey,4.793781,151.1892,335,0,1.547516
raspy,4.793676,155.7300,395,1,1.545788
kails,4.793366,151.8959,417,0,1.476458
alant,4.793222,165.5624,464,0,1.432397
yerba,4.793050,136.6821,287,0,1.613607
piend,4.792923,183.8069,446,0,1.459827
curns,4.792832,165.2479,410,0,1.422246
horsy,4.792723,168.8298,422,0,1.488985
tynde,4.792407,141.2644,350,0,1.495464
drear,4.792388,163.0130,409,0,1.571058
rabid,4.792088,161.1408,380,1,1.469114
harps,4.791910,156.0073,405,0,1.468683
